RAJ,BKF,BKG,KRP,TRE,LNZ,STI
112,301,89,459,169,873,260
117,305,92,478,172,936,239
117,346,96,472,148,912,231
123,558,101,452,137,892,230
131,557,98,426,134,908,232
137,526,96,402,119,888,211
150,484,121,367,116,856,204
181,450,122,353,109,644,238
207,428,117,328,102,629,256
250,401,96,91,94,653,268
286,337,75,87,89,675,255
452,295,73,83,90,1114,250
502,250,75,79,88,1112,222
505,123,78,77,85,1087,209
508,119,84,77,83,648,203
497,115,102,75,84,645,206
496,116,101,76,81,639,235
494,129,103,77,80,610,247
522,135,108,78,82,608,258
545,282,110,82,84,422,264
572,294,121,85,84,424,268
574,308,130,89,90,418,777
375,352,124,90,91,395,761
371,345,118,100,92,383,717
352,475,120,110,92,357,804
357,400,121,120,93,367,739
358,408,98,117,95,391,806
356,388,105,110,99,405,926
326,385,145,122,69,416,941
310,432,148,501,70,466,986
306,484,144,494,69,497,1008
298,532,142,508,71,554,950
290,530,115,498,72,592,1114
280,492,103,505,67,714,1166
289,467,93,530,63,793,1486
292,360,76,532,63,861,1488
309,369,95,533,62,939,1342
322,391,97,544,62,1109,1339
337,392,92,541,68,1384,1081
344,378,87,568,69,1269,1121
370,350,84,579,71,1044,1152
697,327,80,590,72,913,1171
674,290,77,619,74,777,1224
658,266,71,661,80,725,1289
564,194,64,818,92,581,1217
229,193,66,934,104,361,1165
226,186,63,1126,122,359,1143
253,192,61,821,133,348,1137
266,203,55,803,146,366,1071
321,202,56,849,154,359,964
372,209,53,884,184,366,980
352,223,54,914,181,363,929
281,286,55,712,227,314,950
292,307,53,342,223,288,261
240,323,52,318,112,323,285
228,313,53,292,115,522,905
204,304,50,434,106,515,931
197,306,51,436,92,256,927
190,304,48,415,81,643,934
171,307,48,407,64,664,900
158,717,49,401,65,673,913
146,704,48,385,87,745,546
139,676,49,372,90,855,527
124,624,49,364,111,843,525
115,576,50,357,168,816,531
106,547,54,346,198,829,549
106,520,55,349,205,868,540
101,499,59,355,301,896,444
102,481,68,361,306,880,389
96,439,80,373,313,849,356
107,388,90,403,177,871,316
112,318,92,433,167,874,315